bfi_code,sector,full_name
NBL,Commercial Bank,Nepal Bank Limited
RBB,Commercial Bank,Rastriya Banijya Bank
NABIL,Commercial Bank,Nabil Bank Limited
NIMB,Commercial Bank,Nepal Investment Mega Bank Limited
SCBNL,Commercial Bank,Standard Chartered Bank Nepal Limited
HBL,Commercial Bank,Himalayan Bank Limited
NSBI,Commercial Bank,Nepal SBI Bank Limited
EBL,Commercial Bank,Everest Bank Limited
NIC,Commercial Bank,NIC ASIA Bank Limited
MBL,Commercial Bank,Machhapuchchhre Bank Limited
Kumari,Commercial Bank,Kumari Bank Limited
Laxmi,Commercial Bank,Laxmi Sunrise Limited
SBL,Commercial Bank,Siddhartha Bank Limited
ADBNL,Commercial Bank,Agriculture Development Bank
Global,Commercial Bank,Global IME Bank Limited
Citizen,Commercial Bank,Citizens Bank International Limited
Prime,Commercial Bank,Prime Commercial Bank Limited
NMB,Commercial Bank,NMB Bank Limited
Prabhu,Commercial Bank,Prabhu Bank Limited
Sanima,Commercial Bank,Sanima Bank Limited
Mahalaxmi,Development Bank,Mahalaxmi Bikas Bank Limited
Narayani,Development Bank,Narayani Development Bank Limited
Karnali,Development Bank,Karnali Development Bank Limited
Shangrila,Development Bank,Shangrila Development Bank Limited
Excel,Development Bank,Excel Development Bank Limited
Miteri,Development Bank,Miteri Development Bank Limited
Mukti,Development Bank,Muktinath Bikas Bank Limited
Garima,Development Bank,Garima Bikas Bank Limited
Kamana,Development Bank,Kamana Sewa Bikash Bank Limited
Corporate,Development Bank,Corporate Development Bank Limited
Jyoti,Development Bank,Jyoti Bikas Bank Limited
Shine,Development Bank,Shine Resunga Development Bank Limited
LumbiniDB,Development Bank,Lumbini Bikas Bank Limited
Sindhu,Development Bank,Sindhu Bikas Bank Limited
Salapa,Development Bank,Salapa Bikas Bank Limited
saptakoshi,Development Bank,Saptakoshi Development Bank Limited
GreenDB,Development Bank,Green Development Bank Limited
NFL,Finance Company,Nepal Finance Limited
NSML,Finance Company,Nepal Share Markets and Finance Limited
GURKHAFC,Finance Company,Gurkhas Finance Limited
Goodwill,Finance Company,Goodwill Finance Limited
Shree,Finance Company,Shree Investment & Finance Co. Limited
BestFC,Finance Company,Best Finance Limited
Progressive,Finance Company,Progressive Finance Limited
Janaki,Finance Company,Janaki Finance Co. Limited
Pokhara,Finance Company,Pokhara Finance Limited
Central,Finance Company,Central Finance Limited
Multi,Finance Company,Multipurpose Finance Limited
Samriddhi,Finance Company,Samriddhi Finance Company Limited
CMerchant,Finance Company,Capital Merchant Banking & Finance Co. Limited
GMBFL,Finance Company,Guheshwori Merchant Banking & Finance Limited
ICFC,Finance Company,ICFC Finance Limited
Manju,Finance Company,Manjushree Financial Institution Limited
Reliance,Finance Company,Reliance Finance Limited
